	SYMBOL	FDR	FC	avg.CDK4_inhib	avg.Untreated	NAME
Eojy4dF5L6iUnEFQNM	CC2D1B	0.591776322292672	1.13	137.29	121.14	coiled-coil and C2 domain containing 1B
oqRLKgU5a.jfU_dCUo	KLF6	0.591776322292672	1.18	105.73	89.24	Kruppel-like factor 6
BX6ViVdbigRDdDb54M	ATP5J2	0.591776322292672	1.13	1741.86	1546.46	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2
xcrRyBtPu..vr5RJ_o	BBS7	0.592109185161519	1.15	228.73	198.88	Bardet-Biedl syndrome 7
0pdpZqgoepvTQRQTf4	FAM207A	0.592109185161519	-1.15	104.68	120.35	family with sequence similarity 207, member A
ZdFXIb5QUgeG7hders	RRBP1	0.592109185161519	1.13	2585.89	2292.16	ribosome binding protein 1
xSh1I4oQioQrOq6iUQ	CDK10	0.592109185161519	-1.18	78.27	92.17	cyclin-dependent kinase 10
Qeb.U0QyKGM746X.XE	NA	0.592109185161519	1.13	102.63	90.88	NA
EwZeQYTqwjnkPbnlbo	C12orf57	0.592109185161519	1.16	1134.09	975.48	chromosome 12 open reading frame 57
NtfXqtw3cX.k44pJ4o	NA	0.592185412512919	1.14	107.97	94.76	NA
u6vAqGLeX16e4RqFX8	NAGPA	0.592185412512919	1.16	167.92	144.75	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
KKJ4k60959WOEEaF2U	SERPINB8	0.592185412512919	-1.16	90.72	105.34	serpin peptidase inhibitor, clade B (ovalbumin), member 8
lzPq_kKq9530k0dKhU	NA	0.592185412512919	-1.15	84.7	97.72	NA
ul8QuOIgJESH3KUeoI	NA	0.592218030533943	1.16	98.5	84.94	NA
NFXhXi16Ud6m6.dxe0	NA	0.592218030533943	1.15	100.33	86.9	NA
KlLmJ.niPp1.n36A1E	ANAPC1	0.592218030533943	-1.19	227.48	269.63	anaphase promoting complex subunit 1
fOEOzhjpJrOCYilHkg	NA	0.592218030533943	1.16	222.19	191.67	NA
ftUM_CVOjfOsgmLUaY	PPP2R2D	0.592371260185221	-1.16	86.42	100.38	protein phosphatase 2, regulatory subunit B, delta
fJoiBH.p94qU_epyuQ	GABARAPL2	0.592371260185221	1.13	1028.46	911.43	GABA(A) receptor-associated protein like 2
Bnh_UlEJ535IvfFPXs	CDR2	0.592555993133149	-1.14	350.58	399.3	cerebellar degeneration-related protein 2, 62kDa
congjqSuggiVdDLgjg	GTF2A1	0.592555993133149	-1.15	90.32	103.99	general transcription factor IIA, 1, 19/37kDa
HMl5.VyOT_7KCzMT9U	RAB18	0.592555993133149	1.15	138.87	120.8	RAB18, member RAS oncogene family
fUV392WYK4e9f_VSV0	NA	0.592601925966148	1.16	106.01	91.15	NA
KjjeWQuc52X0V257Qc	UBA52	0.592744916914724	1.13	7558.54	6702.04	ubiquitin A-52 residue ribosomal protein fusion product 1
rl.EUUNAHcrEUEQXoI	NUP35	0.592744916914724	-1.14	132.76	151.64	nucleoporin 35kDa
9iSDdagOHy3pROTJU0	STAU2	0.592778237338754	1.12	162.53	144.47	staufen double-stranded RNA binding protein 2
l50KRBd6nosih3rqCs	PRDM4	0.592778237338754	1.14	328.09	288.85	PR domain containing 4
foL5LieM05V7HUl6uE	IL10	0.593337521343897	1.13	483.46	428.22	interleukin 10
iXiInnjBTuo2vxo4oI	NA	0.5933963138418	1.14	118.89	104.46	NA
ZC6T04LjbLTl0gktVU	NXF1	0.59348067434255	-1.13	286.36	324.55	nuclear RNA export factor 1
f6LCEsDNJfkkISd4kk	ZAK	0.593563731610618	-1.14	82.86	94.56	sterile alpha motif and leucine zipper containing kinase AZK
oQQkXvbkT6UtSVCcSY	TEAD4	0.593733728619857	-1.16	73.18	84.73	TEA domain family member 4
KvX645z7.lJqJH00r0	JMJD1C	0.593776003030844	-1.2	83.19	99.59	jumonji domain containing 1C
iqEyUqKpRNH1R6A3e4	PYCR1	0.593857452286431	1.15	108.39	94.42	pyrroline-5-carboxylate reductase 1
ZVSIZ0n7NT4egt7Ruk	CLCN4	0.594230874632972	-1.13	87.98	99.29	chloride channel, voltage-sensitive 4
lgZ7k0C7_zvbJxMbFE	TRIM2	0.594230874632972	-1.16	81.47	94.52	tripartite motif containing 2
30X49ZE5UGOH3tepwU	IL4I1	0.594230874632972	1.15	81.53	70.62	interleukin 4 induced 1
W_dCtKSfKCqSNqp_BU	FKRP	0.594230874632972	-1.18	73.57	86.54	fukutin related protein
xJ3qp4rqKPn4lSi8gk	C21orf58	0.594230874632972	1.16	313.44	271.09	chromosome 21 open reading frame 58
um1FEyXrlJPiKINS4o	NA	0.594340872582559	1.18	93.11	79.05	NA
EKX7RKOreqIJU5ESdc	ATAT1	0.594340872582559	-1.15	79.72	91.42	alpha tubulin acetyltransferase 1
ftdG9UoqafRX2wUohA	TRIB2	0.594576274571683	-1.13	89.01	100.29	tribbles pseudokinase 2
BGzdU5lC6JVSUIJSUQ	EEF1D	0.59458561404346	1.15	638.54	553.08	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
EnaHWrdXKM5VLJP57s	KLC1	0.59473008170144	1.13	310.01	274.78	kinesin light chain 1
QpXR8m6KCgSginjgCk	ATG4A	0.59494278159597	1.16	90.04	77.48	autophagy related 4A, cysteine peptidase
ooHdd98d0tSwv4cSJE	NA	0.595239655610085	1.17	84.7	72.3	NA
HxK5Lp9zv_r454PKi4	NA	0.595304066863279	1.13	343.44	304.64	NA
6UL1R645e3hG.6z8so	SLC35E1	0.595304066863279	1.16	617.1	529.87	solute carrier family 35, member E1
lv7C90iLat5C5.5eUo	TPD52	0.595304617144147	1.14	99.18	86.8	tumor protein D52
TkeV8l_7Tef.b3mM5U	GNG12	0.595379078121291	-1.17	278.25	326.25	guanine nucleotide binding protein (G protein), gamma 12
6HqoIooIgKCSK6KS4o	NA	0.595379078121291	1.14	171.42	150.89	NA
E5jiwqwqZOg6pwrqLg	TMEM44	0.595471820644946	-1.15	181.71	209.31	transmembrane protein 44
Z_MP_ffHweIAxCQ_CM	NA	0.595471820644946	1.15	108.66	94.48	NA
iRfeA55zKnrN7AIM14	DNAJB4	0.595471820644946	-1.14	132.1	151.22	DnaJ (Hsp40) homolog, subfamily B, member 4
HFqE1p4606I1kOfOe4	PSME1	0.595471820644946	1.18	1020.8	864.58	proteasome activator subunit 1
Q3lU1VYe70otUX5P0g	STK10	0.595650767920715	1.15	131.64	114.79	serine/threonine kinase 10
rlInf9E_5x7eRe0cks	MIR130A	0.595690387143863	-1.15	77.52	88.85	microRNA 130a
fsOkP3de6A1Q_fg8eM	DNAJB4	0.595740305791876	-1.18	179.92	211.84	DnaJ (Hsp40) homolog, subfamily B, member 4
lSkl8uIOFR9v8JdNUk	NGDN	0.595874635187065	-1.18	160.3	188.71	neuroguidin, EIF4E binding protein
on98qA4SpAkP.e_n_o	USP8	0.596106921213453	1.15	152.98	133.04	ubiquitin specific peptidase 8
NgRiRRKZWCloEpvyIA	RBM39	0.596112901237659	1.13	322.16	284.9	RNA binding motif protein 39
HXVeIuKF01hTsPFPZ8	MTURN	0.596187507625136	1.16	234.77	202.03	maturin, neural progenitor differentiation regulator homolog (Xenopus)
QG2d3l4kVJf0i4x6TM	TBC1D8B	0.596211390512063	1.15	113.03	98.11	TBC1 domain family, member 8B (with GRAM domain)
EHGUK_J69dUVeeI1cg	ATP5L	0.596211390512063	1.13	1667.94	1470.1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G
9Togg1I5cY8QQp0rlI	ANKZF1	0.596211390512063	-1.15	85.15	97.56	ankyrin repeat and zinc finger domain containing 1
EtF3iuXnpNd1VOfHDE	TAGLN2	0.596211390512063	-1.13	494.21	560.09	transgelin 2
EMkr3rjrEQgs3AXfX0	SLTM	0.596211390512063	1.14	136.46	119.64	SAFB-like, transcription modulator
9cjXNKOKJJJUqft6NI	BBS4	0.596767592981929	1.14	138.14	121.63	Bardet-Biedl syndrome 4
QukxEiSW7kgU4wVQOo	ABCB7	0.59685350084074	-1.13	175.05	198.2	ATP-binding cassette, sub-family B (MDR/TAP), member 7
Nao.7nxG.nkEjrfdfU	C6orf165	0.597043236835905	1.16	103.45	89.23	chromosome 6 open reading frame 165
Eud7FLnTTV99MUGtXI	PHF3	0.597083203897963	-1.15	277.88	320.31	PHD finger protein 3
xlklMUl0Uj713tNP.k	NA	0.597083203897963	1.14	88.4	77.58	NA
ufXV6v7ehFiJhRNeiA	COL20A1	0.597200689853584	1.14	106.21	92.82	collagen, type XX, alpha 1
BSUBMTk1TghJqAlenU	MTRR	0.597479704397181	-1.14	93.97	107.06	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
