	SYMBOL	FDR	FC	avg.Control	avg.MDM2_KD_380	NAME
HdbiArlVguAiOl66Ak	NA	0.0745101310157347	-1.68	91.27	54.37	NA
i7k.0Xiv1eTV5LlAlU	GLB1	0.0745722416381663	1.45	325.62	470.54	galactosidase, beta 1
iBoe4NZ3_2gniQnun8	CIRBP	0.0745722416381663	-1.57	1000.26	638.55	cold inducible RNA binding protein
WHTZokKZUkBOxFZ30I	ERCC3	0.0746839636583614	-1.52	190.29	125.4	excision repair cross-complementation group 3
EZ7hPZxEoTTmzl0p5E	LOX	0.074738023315771	1.41	867	1220.87	lysyl oxidase
KLuFeF3t8fuiWeFPqE	EZH2	0.0747617963236353	-1.59	133.7	84.23	enhancer of zeste 2 polycomb repressive complex 2 subunit
0iKok1PPrE7qf8AHU0	CLIC4	0.0747617963236353	1.65	266.03	440.17	chloride intracellular channel 4
ro1zSm0X07.MUe867o	C11orf70	0.0748196989435927	1.39	189.77	264.25	chromosome 11 open reading frame 70
cqcdO17JS9NdMMIOpI	GSTA4	0.0748556491427836	1.46	128.63	187.62	glutathione S-transferase alpha 4
cdJWE1BKZQHRIlfuSM	BATF3	0.0749584107984282	-1.44	89.79	62.23	basic leucine zipper transcription factor, ATF-like 3
xKf56fuaTXnW3kr7n0	ATP5I	0.075050159917782	1.4	324.93	454.64	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E
B6KklUShr84kRDzJ_8	CAPN2	0.075050159917782	-1.57	226.1	144.23	calpain 2, (m/II) large subunit
6Jehe6mLVPp6nel40c	CECR5	0.075050159917782	-1.44	118.21	81.98	cat eye syndrome chromosome region, candidate 5
BNFEdVUl9F6U4KF.4U	SH3BGRL3	0.0750617778658044	1.52	1591.82	2415.63	SH3 domain binding glutamate-rich protein like 3
ueYvkyegvQ50tcX6dU	RPL22	0.0753291913481995	1.41	1163.94	1642.1	ribosomal protein L22
ouHEd5P5QagmO6UJHo	TMEM168	0.0753856688427819	-1.47	108.16	73.82	transmembrane protein 168
Bn5UKURJALRQdAXH3w	NDUFS1	0.0753856688427819	-1.4	123.39	87.82	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)
