	SYMBOL	RAE.GENE	Chr12q
6859	CEP55	-1	
6860	IGF1	0.118	
6861	RPL23	-1	
6862	APOL2	0.096	
6863	GLB1L	-1	
6864	USP24	-1	
6865	H3F3A	0.171	
6866	KDM4B	NA	
6867	MAPKAPK2	0.118	
6868	B3GALNT1	-1	
6869	POLE3	0.096	
6870	HLA-DRA	NA	
6871	ERBB4	-1	
6872	DCUN1D2	-1	
6873	TTK	0.064	
6874	NFAT5	0.107	
6875	TFPI2	-1	
6876	LRPAP1	-1	
6877	KATNBL1	NA	
6878	KCTD12	-1	
6879	SYMPK	-1	
6880	NA	NA	
6881	C6orf62	-1	
6882	TXNRD3NB	NA	
6883	TAF4	0.171	
6884	WDR74	0.091	
6885	PRUNE2	0.094	
6886	SNRPG	-1	
6887	UBR5	0.107	
6888	CYB561	0.064	
6889	PTBP3	NA	
6890	NA	NA	
6891	FBXO28	0.187	
6892	BLMH	-1	
6893	SVIL	0.053	
6894	UNC45A	-1	
6895	CADM1	0.171	
6896	NELFA	NA	
6897	ATP6V0B	0.107	
6898	SNAP29	0.102	
6899	CDK2AP2	0.091	
6900	DPM3	0.182	
6901	TUT1	0.091	
6902	EZR	-1	
6903	RBKS	-1	
6904	PHTF1	0.075	
6905	PIGV	-1	
6906	RAB5A	0.053	
6907	DENND2A	0.08	
6908	PTK2	-1	
6909	GAS7	0.07	
6910	PUM1	0.07	
6911	NIP7	0.107	
6912	RASSF4	0.059	
6913	NA	NA	
6914	PCBP4	0.086	
6915	BRCC3	NA	
6916	SEC24D	-1	
6917	ING1	0.144	
6918	H2AFY	0.086	
6919	ZFC3H1	0.417	X
6920	PEG3	-1	
6921	TXN2	-1	
6922	DPP4	-1	
6923	ACAA2	-1	
6924	NA	NA	
6925	C12orf4	0.086	
6926	ADAM10	-1	
6927	ARMCX1	NA	
6928	ENPP2	0.096	
6929	ATRN	-1	
6930	TCEB1	-1	
6931	TRAPPC3	-1	
6932	BEST1	-1	
6933	MBD3	-1	
6934	DOCK6	-1	
6935	PLEKHA5	-1	
6936	XRCC5	-1	
6937	UBE2B	-1	
6938	HMGXB3	NA	
6939	IL7R	0.15	
6940	RFK	-1	
6941	SLC2A4RG	-1	
6942	DNAJB4	-1	
6943	AC005546.2	NA	
6944	HIPK2	-1	
6945	TAF15	-1	
6946	RNF114	0.134	
6947	CYFIP2	0.086	
6948	TIMM10	0.075	
6949	RING1	NA	
6950	NA	NA	
6951	RABAC1	0.08	
6952	ZNF195	-1	
6953	EHD1	0.08	
6954	NA	NA	
6955	MOSPD2	NA	
6956	RPL5	-1	
6957	ABCF1	NA	
6958	SSB	0.059	
6959	ACP6	-1	
6960	NA	NA	
6961	DHCR24	-1	
6962	NCKAP1	-1	
6963	TCEAL1	NA	
6964	PLEKHO2	-1	
6965	LRRFIP2	0.08	
6966	CUL9	0.075	
6967	SETD3	-1	
6968	CLDND1	0.053	
6969	CHMP5	-1	
6970	HDGF	0.176	
6971	PPP3R1	-1	
6972	MC1R	-1	
6973	PDPK1	-1	
6974	PCDHGC3	0.08	
6975	ZNF175	-1	
6976	ERCC5	-1	
6977	SEPW1	0.112	
6978	SYNCRIP	-1	
6979	DICER1	-1	
6980	IL12RB2	0.086	
6981	NA	NA	
6982	APOL1	-1	
6983	COX5A	0.075	
6984	MED21	0.075	
6985	ADSL	-1	
6986	GTF2I	-1	
6987	ALG9	0.176	
6988	AKAP13	-1	
6989	NA	NA	
6990	IFNGR1	-1	
6991	PXMP2	0.144	
6992	ARCN1	-1	
6993	CASK	NA	
6994	SZRD1	NA	
6995	DNPH1	NA	
6996	DMBT1	-1	
6997	GABRE	NA	
6998	HOMER1	0.059	
6999	ZBTB1	-1	
7000	WARS	-1	
7001	WDR3	-1	
7002	RNPEPL1	-1	
7003	DCTPP1	-1	
7004	LSM1	0.102	
7005	GJA1	-1	
7006	YME1L1	-1	
7007	SERINC1	-1	
7008	CYB5R1	0.118	
7009	CYTIP	0.048	
7010	WDR12	-1	
7011	H2AFY	0.086	
7012	PIK3C2B	0.118	
7013	NA	NA	
7014	TIMM44	-1	
7015	CTBP2	0.027	
7016	FAM63B	0.086	
7017	GDPD3	0.043	
7018	PSMC1	0.064	
7019	NA	NA	
7020	NA	NA	
7021	SLC25A3	0.112	
7022	PWP1	0.096	
7023	VPS13D	0.08	
7024	ATP2C1	-1	
7025	NAV3	0.332	
7026	RAB27A	0.07	
7027	NUP50	-1	
7028	SYT5	0.096	
7029	GRB10	-1	
7030	PIK3R2	0.107	
7031	S100A4	-1	
7032	NUP214	0.059	
7033	SMOX	-1	
7034	CASZ1	0.075	
7035	MYL12A	0.059	
7036	NFATC3	-1	
7037	MAGOH	-1	
7038	PARD3	0.048	
7039	FKBP5	-1	
7040	PAICS	-1	
7041	DUSP8	0.155	
7042	UCP2	-1	
7043	ANKRD12	-1	
7044	PLAA	-1	
7045	TBCB	-1	
7046	HOXA9	0.176	
7047	TMA7	NA	
7048	H2AFV	0.091	
7049	ATG14	NA	
7050	BRAP	0.128	
7051	ABI1	-1	
7052	PRKAG2	0.08	
7053	ABCB7	NA	
7054	CDC27	0.064	
7055	LRRC1	0.059	
7056	ZKSCAN7	NA	
7057	ROCK1	-1	
7058	DEF8	0.102	
7059	NA	NA	
7060	VAMP2	-1	
7061	ARL4C	-1	
7062	NEBL	0.059	
7063	KIN	-1	
7064	SNRPA	0.091	
7065	DGCR8	-1	
7066	FCF1	-1	
7067	ASPA	-1	
7068	PRKAR2A	-1	
7069	ETNK1	-1	
7070	SAA4	0.112	
7071	BAIAP2	0.064	
7072	FADS2	-1	
7073	ENTPD1	-1	
7074	DUT	-1	
7075	SLC19A2	-1	
7076	SNRNP70	-1	
7077	FAM171A1	-1	
7078	CHFR	-1	
7079	CACNA1A	0.112	
7080	CCL4	0.059	
7081	CNN1	-1	
7082	KLC1	-1	
7083	NEBL	0.059	
7084	MBD5	-1	
7085	POLR1C	-1	
7086	GSTT1	-1	
7087	BCL2L1	-1	
7088	ADORA1	0.107	
7089	COX16	0.08	
7090	ADD1	-1	
7091	TULP3	-1	
7092	ORC5	NA	
7093	CKS1B	-1	
7094	NOTCH3	-1	
7095	BCORL1	NA	
7096	IKZF1	0.091	
7097	CLUH	NA	
7098	IL20RA	0.193	
7099	ZNF177	0.134	
7100	CTSB	-1	
7101	TCF4	-1	
7102	PRKD3	0.053	
7103	STMN1	0.08	
7104	WDR74	0.091	
7105	SYNCRIP	-1	
7106	CYB5R3	0.107	
7107	B3GAT3	-1	
7108	TLE3	0.053	
7109	NA	NA	
7110	NA	NA	
7111	RNMT	-1	
7112	HSPA9	-1	
7113	SEPT2	-1	
7114	SNCAIP	0.064	
7115	PQBP1	NA	
7116	CYB5B	0.107	
7117	FTSJ2	0.123	
7118	CA3	-1	
7119	CCL13	-1	
7120	FNTA	-1	
7121	CYB561D2	-1	
7122	ATP2B1	0.326	
7123	ERI2	-1	
7124	ABHD6	0.107	
7125	NELFA	NA	
7126	LRRC14	-1	
7127	ICA1	-1	
7128	GIN1	0.059	
7129	RSAD1	0.059	
7130	DEPTOR	NA	
7131	PGAP3	NA	
7132	FAM64A	0.048	
7133	SMARCC1	-1	
7134	LXN	-1	
7135	CCL18	0.064	
7136	ITGB5	0.064	
7137	TMEM254	NA	
7138	STC1	0.096	
7139	CAPRIN1	0.128	
7140	ZNF83	-1	
7141	RAB5B	0.102	
7142	SOX18	-1	
7143	TM2D1	0.107	
7144	ZBTB40	0.075	
7145	WDR47	0.096	
7146	PPP1R10	NA	
7147	CLCN3	-1	
7148	WDR1	-1	
7149	SEMA4F	0.043	
7150	CXorf40B	NA	
7151	C19orf24	-1	
7152	EHMT2	NA	
7153	SIAH1	0.091	
7154	P4HB	NA	
7155	NA	NA	
7156	AHSA1	0.091	
7157	DAPK3	-1	
7158	EEF1D	-1	
7159	HNRNPU	0.155	
7160	STAT2	0.086	
7161	GGA3	0.075	
7162	GRAMD4	0.102	
7163	LRRC8B	-1	
7164	MED8	0.086	
7165	MNT	0.064	
7166	PDF	-1	
7167	NA	NA	
7168	HNRNPC	-1	
7169	MVK	-1	
7170	HAMP	-1	
7171	LSP1	-1	
7172	NA	NA	
7173	RBM3	NA	
7174	CALCA	0.112	
7175	SGK196	0.102	
7176	EIF5B	-1	
7177	CACTIN	NA	
7178	RSRC2	0.123	
7179	RNH1	0.176	
7180	SLC7A1	-1	
7181	WDR61	-1	
7182	MAB21L1	0.128	
7183	NA	NA	
7184	SRRT	-1	
7185	COPA	0.209	
7186	NA	NA	
7187	MAZ	-1	
7188	NA	NA	
7189	APLP2	0.171	
7190	EIF4G2	0.123	
7191	NDRG3	0.128	
7192	NA	NA	
7193	PRCC	0.176	
7194	HSPA8	0.203	
7195	MRPS22	0.053	
7196	NFATC1	-1	
7197	LINC00987	NA	
7198	FAM134A	-1	
7199	SACM1L	-1	
7200	GATA3	0.059	
7201	GLI3	-1	
7202	PUF60	-1	
7203	ANXA9	-1	
7204	PPM1H	0.144	
7205	DAPK3	-1	
7206	CHD4	0.091	
7207	SUPV3L1	-1	
7208	ACTG1	0.064	
7209	PSMB8	NA	
7210	HNRNPA3	-1	
7211	MS4A1	-1	
7212	UBXN6	0.091	
7213	CADM3	0.182	
7214	PIAS4	-1	
7215	MAP1B	0.053	
7216	ACTR6	0.118	
7217	PPFIBP1	-1	
7218	PTMA	0.053	
7219	SYNJ2	-1	
7220	HPGD	-1	
7221	RAB4A	0.15	
7222	GIPC2	-1	
7223	PARK7	-1	
7224	EIF5B	0.075	
7225	SRP72	-1	
7226	NDFIP1	0.08	
7227	DNAJC15	0.134	
7228	AIDA	0.139	
7229	FNBP4	-1	
7230	MITF	0.08	
7231	SNX29P2	NA	
7232	SPATA6	0.075	
7233	TMEM80	0.176	
7234	PHKA2	NA	
7235	APBB1	0.123	
7236	NA	NA	
7237	TRIM24	0.08	
7238	SETD2	-1	
7239	ALDH7A1	-1	
7240	NA	NA	
7241	NFYB	-1	
7242	SP110	-1	
7243	PSTPIP2	-1	
7244	WIPF2	0.086	
7245	HNRNPUL1	0.091	
7246	SLC43A1	0.086	
7247	SETD2	0.112	
7248	SSX2IP	-1	
7249	RAB2A	0.128	
7250	DENND1C	-1	
7251	NA	NA	
7252	RIT1	0.176	
7253	CASP8	-1	
7254	DIMT1	NA	
7255	DGUOK	0.043	
7256	SDHB	-1	
7257	NUCKS1	-1	
7258	RSRC2	0.123	
7259	LSM3	-1	
7260	KIF5B	-1	
7261	NEK4	-1	
7262	PDLIM5	0.032	
7263	ACTR3B	0.075	
7264	PRKACB	0.046	
7265	TLE1	-1	
7266	TTN	0.048	
7267	USP48	0.075	
7268	PRDX2	-1	
7269	ZCCHC14	-1	
7270	UBE2W	-1	
7271	SP110	-1	
7272	CALHM2	0.032	
7273	CCZ1B	NA	
7274	SOCS6	0.07	
7275	HSD17B8	NA	
7276	HSPA2	0.086	
7277	CCNG2	0.043	
7278	KIAA1199	-1	
7279	KDM4C	NA	
7280	RERE	-1	
7281	ZNF45	-1	
7282	EHD2	0.112	
7283	SMARCC1	-1	
7284	TAOK3	-1	
7285	SPI1	-1	
7286	MOXD1	0.123	
7287	CD96	-1	
7288	FTH1	0.091	
7289	LPL	-1	
7290	ZFP37	0.102	
7291	TMEM160	-1	
7292	CARD9	0.064	
7293	DYNLL1	-1	
7294	TTLL7	-1	
7295	ZNF259	0.16	
7296	STAU1	-1	
7297	CD69	-1	
7298	DLGAP5	-1	
7299	NA	NA	
7300	LDLRAD4	NA	
7301	ARL2BP	-1	
7302	LEPROT	-1	
7303	NAA35	NA	
7304	IK	-1	
7305	GSPT2	NA	
7306	NOL3	0.08	
7307	HSP90AA1	-1	
7308	PIK3CD	0.075	
7309	FXR1	0.07	
7310	NEU1	NA	
7311	TPM2	0.118	
7312	AURKB	0.059	
7313	FKBP8	-1	
7314	KHSRP	0.091	
7315	MED8	0.086	
7316	NA	NA	
7317	DENND2D	-1	
7318	FANCE	0.07	
7319	DR1	0.059	
7320	SLC12A8	-1	
7321	SFRP1	0.096	
7322	XPNPEP2	NA	
7323	NA	NA	
7324	ARF6	0.091	
7325	HINT1	-1	
7326	NA	NA	
7327	IL33	-1	
7328	PRDM4	-1	
7329	SUMO2	0.075	
7330	TBC1D9	0.037	
7331	SLMO2	0.155	
7332	NA	NA	
7333	AGFG1	-1	
7334	GPR137	-1	
7335	EPN2	0.064	
7336	HIPK3	0.139	
7337	SLC22A17	-1	
7338	RAB31	0.053	
7339	LY6H	0.08	
7340	NIPSNAP1	-1	
7341	OLA1	-1	
7342	ZNF292	0.059	
7343	DOLK	0.07	
7344	SRPK1	-1	
7345	CELF1	NA	
7346	SMC4	-1	
7347	PACS2	0.128	
7348	NA	NA	
7349	IQCE	0.139	
7350	UBE2D4	-1	
7351	DARS	-1	
7352	ARID1A	0.07	
7353	RRAGD	-1	
7354	LONP1	-1	
7355	NEK11	-1	
7356	SLC25A6	NA	
7357	ACTR5	0.144	
7358	MTIF2	-1	
7359	ALDH4A1	-1	
7360	HSP90AA1	-1	
7361	FAXDC2	NA	
7362	UQCRQ	0.064	
7363	XRCC6	0.112	
7364	NA	NA	
7365	C16orf62	-1	
7366	UPF2	-1	
7367	CUL3	-1	
7368	PLXNA1	-1	
7369	PIP4K2B	-1	
7370	TAF1A	-1	
7371	NA	NA	
7372	PLBD1	0.091	
7373	HPS5	-1	
7374	ZBTB40	0.075	
7375	NA	NA	
7376	FBLN1	-1	
7377	EPHB4	-1	
7378	PSME3	0.08	
7379	CMA1	-1	
7380	GNA12	0.139	
7381	TNIP2	-1	
7382	BIRC3	-1	
7383	RANBP9	0.07	
7384	NA	NA	
7385	DUSP6	0.316	
7386	NA	NA	
7387	MFAP5	0.075	
7388	IL6ST	-1	
7389	CACFD1	NA	
7390	NA	NA	
7391	GPRASP1	NA	
7392	MCF2L	0.123	
7393	NA	NA	
7394	EIF4A1	-1	
7395	TMCO6	-1	
7396	WDR48	-1	
7397	YIPF6	NA	
7398	NA	NA	
7399	NA	NA	
7400	NA	NA	
7401	HOXC10	0.102	
7402	MAK16	0.107	
7403	WWP1	0.112	
7404	POLR3G	0.048	
7405	MRPL40	0.086	
7406	SF3A1	0.102	
7407	DERA	-1	
7408	ABCC4	-1	
7409	EBP	NA	
7410	SRSF2	NA	
7411	NCAPD3	-1	
7412	NA	NA	
7413	TCF7L2	0.032	
7414	MAP2K4	0.08	
7415	NA	NA	
7416	NA	NA	
7417	CDC34	-1	
7418	PDK4	-1	
7419	SLC39A6	0.053	
7420	TNFRSF11B	0.091	
7421	HOXB7	-1	
7422	TAF6L	0.096	
7423	PSMB9	NA	
7424	SNX3	0.086	
7425	RRN3	0.053	
7426	ZNF207	0.086	
7427	RTCA	NA	
7428	SEL1L	-1	
7429	SPIB	-1	
7430	RPL13A	-1	
7431	TIAL1	-1	
7432	PDLIM5	0.032	
7433	ANGPT1	0.102	
7434	IP6K1	0.107	
7435	BLVRA	-1	
7436	FHIT	0.08	
7437	PANX1	0.144	
7438	CANX	0.091	
7439	MERTK	0.075	
7440	KYNU	0.053	
7441	MAP4	0.127	
7442	TMF1	-1	
7443	B3GALNT1	-1	
7444	DZIP3	-1	
7445	TGDS	-1	
7446	EDEM1	-1	
7447	PPP2R3A	0.059	
7448	PPP1R7	-1	
7449	TGOLN2	0.053	
7450	TUBGCP4	-1	
7451	ERAP1	0.064	
7452	MDFIC	-1	
7453	DEK	-1	
7454	NA	NA	
7455	TACSTD2	-1	
7456	HEATR2	0.112	
7457	DDX42	-1	
7458	MIIP	NA	
7459	AQP3	-1	
7460	HPCAL1	-1	
7461	KPNA2	NA	
7462	ICMT	-1	
7463	GTPBP8	-1	
7464	BCL9	0.15	
7465	RAD1	0.128	
7466	EDIL3	0.059	
7467	NA	NA	
7468	NPM1	0.096	
7469	RBM4	0.091	
7470	PIGQ	0.07	
7471	SREK1	NA	
7472	IGF2R	-1	
7473	MAP1LC3C	0.144	
7474	NADSYN1	-1	
7475	TUSC2	0.08	
7476	APEX1	0.07	
7477	YLPM1	0.102	
7478	MRPL9	0.155	
7479	MARCO	-1	
7480	EIF3J	0.102	
7481	ANKMY2	0.139	
7482	SMARCD3	0.091	
7483	KPNB1	-1	
7484	SLC2A4	-1	
7485	GEM	-1	
7486	NCF4	-1	
7487	CLDN15	-1	
7488	MKI67	0.032	
7489	INTS1	0.118	
7490	RAB14	0.107	
7491	KCTD2	-1	
7492	ZNF263	0.043	
7493	IRS1	-1	
7494	NA	NA	
7495	TGFB1	-1	
7496	NA	NA	
7497	NTAN1	-1	
7498	NFYC	-1	
7499	UBAP2	-1	
7500	PTBP1	-1	
7501	PIN4	NA	
7502	C6orf47	NA	
7503	LPP	-1	
7504	CCT7	-1	
7505	RPS11	-1	
7506	SSPN	-1	
7507	CLEC1A	0.096	
7508	GABARAPL2	0.107	
7509	MLF1	0.064	
7510	TMEM161A	0.086	
7511	RABL3	0.064	
7512	H2AFV	0.091	
7513	HBS1L	0.171	
7514	GCAT	-1	
7515	HDAC1	0.075	
7516	CNNM2	0.064	
7517	NA	NA	
7518	PTBP1	-1	
7519	ZNF516	-1	
7520	CISD1	-1	
7521	PSMB6	-1	
7522	TCIRG1	-1	
7523	MTHFSD	-1	
7524	N4BP2L1	0.139	
7525	DMPK	-1	
7526	IGFBP5	-1	
7527	TMF1	-1	
7528	RAB15	-1	
7529	SUPT6H	0.053	
7530	ST8SIA1	-1	
7531	PLGRKT	NA	
7532	SENP3	0.053	
7533	SLC25A12	-1	
7534	LSG1	0.091	
7535	TNPO2	0.102	
7536	DDX24	0.07	
7537	EIF3B	-1	
7538	GPNMB	0.128	
7539	SIRT2	0.08	
7540	NUAK1	0.086	
7541	LDB2	-1	
7542	SPAG5	-1	
7543	PPIE	0.082	
7544	ANGEL2	-1	
7545	RPS5	-1	
7546	HMGCR	0.059	
7547	ACTR1A	0.053	
7548	FARS2	-1	
7549	PSMB2	-1	
7550	RMND5A	-1	
7551	MSX2	0.102	
7552	KCND2	0.075	
7553	ADD1	-1	
7554	NA	NA	
7555	ZBTB38	0.053	
7556	THAP10	-1	
7557	NA	NA	
7558	RBP1	-1	
7559	ILVBL	0.107	
7560	AGGF1	0.064	
7561	FEM1B	-1	
7562	NUFIP1	0.16	
7563	ASF1B	0.128	
7564	PRICKLE4	0.07	
7565	MCM9	0.112	
7566	FGFR1	0.102	
7567	UBE2B	-1	
7568	SMAGP	NA	
7569	DIO3	0.112	
7570	YME1L1	-1	
7571	PER1	-1	
7572	NA	NA	
7573	SAR1A	0.037	
7574	LEPROTL1	0.107	
7575	S100A11	0.166	
7576	EPB41L4B	-1	
7577	PTGIS	-1	
7578	NUDCD3	-1	
7579	PQBP1	NA	
7580	LINC00963	NA	
7581	TIAL1	-1	
7582	KIAA0586	0.102	
7583	EVI2B	-1	
7584	CHST3	0.043	
7585	COX4I1	-1	
7586	TGFBRAP1	-1	
7587	PRDM2	-1	
7588	NFATC1	-1	
7589	TULP3	-1	
7590	NA	NA	
7591	MOK	NA	
7592	TNPO1	0.053	
7593	IGFBP4	-1	
7594	TCF7L2	0.032	
7595	IL10	-1	
7596	DET1	0.048	
7597	MYOM1	-1	
7598	SOAT1	0.112	
7599	NDUFAF3	0.123	
7600	CRKL	-1	
7601	NA	NA	
7602	COPA	0.209	
7603	EID1	-1	
7604	CASP1	-1	
7605	CPD	0.08	
7606	CTSZ	0.16	
7607	EPB41L3	0.053	
7608	PER1	-1	
7609	WDFY3	-1	
7610	DENND6B	NA	
7611	LRRC49	-1	
7612	ZBTB20-AS2	NA	
7613	CLEC11A	-1	
7614	DPY19L4	0.118	
7615	TMEM8B	NA	
7616	RNF122	0.102	
7617	ENTPD1	-1	
7618	AMIGO2	-1	
7619	SELENBP1	-1	
7620	SOD2	-1	
7621	PTPN12	-1	
7622	CD36	-1	
7623	DYNC2H1	0.139	
7624	YWHAE	0.064	
7625	NA	NA	
7626	NA	NA	
7627	RRP8	-1	
7628	TBC1D10B	-1	
7629	TUBG1	0.08	
7630	TGFB2	-1	
7631	GLYR1	NA	
7632	HSPE1	0.064	
7633	HNRNPA0	0.086	
7634	ANGPT2	-1	
7635	CLIP2	0.075	
7636	PCNXL2	-1	
7637	AIP	0.091	
7638	GM2A	0.07	
7639	VPRBP	0.123	
7640	PI4KA	-1	
7641	CD36	-1	
7642	DAPK1	0.107	
7643	NA	NA	
7644	NAA35	NA	
7645	SAR1A	0.037	
7646	C1D	0.043	
7647	MRPS31	0.171	
7648	MUC3A	NA	
7649	AMPH	-1	
7650	PPT2	NA	
7651	DOM3Z	NA	
7652	ZNF813	-1	
7653	PPIA	0.091	
7654	FCGR2A	0.193	
7655	LINC00338	NA	
7656	C12orf52	0.118	
7657	SCD	0.048	
7658	AP3B2	0.053	
7659	KDM2A	NA	
7660	SDHC	0.203	
7661	BAD	0.086	
7662	MYCBP2	0.134	
7663	ATP6V0E1	-1	
7664	SIRT1	0.064	
7665	C11orf58	0.144	
7666	VPS13C	-1	
7667	GTPBP4	0.112	
7668	RPL35A	-1	
7669	GPN1	0.053	
7670	IL32	0.043	
7671	WDR46	NA	
7672	RRAS2	0.123	
7673	TNFRSF25	0.086	
7674	GHITM	0.043	
7675	EIF3B	-1	
7676	THEMIS2	NA	
7677	MFSD9	0.08	
7678	MYO9B	0.091	
7679	INPP5A	0.032	
7680	NA	NA	
7681	PALLD	-1	
7682	GALNT2	-1	
7683	HTR2A	-1	
7684	NLGN1	-1	
7685	ST7	-1	
7686	AKAP13	-1	
7687	ZFR	0.128	
7688	ZNF395	0.091	
7689	CALD1	-1	
7690	NA	NA	
7691	NOL7	-1	
7692	MICAL2	0.123	
7693	BANF1	-1	
7694	CYFIP1	0.07	
7695	ALDH4A1	-1	
7696	SIM1	0.08	
7697	NA	NA	
7698	BYSL	-1	
7699	ARL5A	0.053	
7700	KRAS	0.07	
7701	ELMSAN1	NA	
7702	TPD52L2	-1	
7703	TTLL5	-1	
7704	CDC27	-1	
7705	DYM	0.053	
7706	ZBTB39	0.15	
7707	UFD1L	0.086	
7708	TOMM40	0.102	
7709	ZFYVE9	0.08	
7710	SVEP1	-1	
7711	CENPF	-1	
7712	CCS	-1	
7713	MTPAP	-1	
7714	PRKAB2	0.15	
7715	AMELX	NA	
7716	CAPZA2	0.07	
7717	CHMP7	-1	
7718	PDCD4	-1	
7719	PWP1	0.096	
7720	MRPS11	-1	
7721	NELFCD	NA	
7722	MDH2	-1	
7723	RBM8A	0.112	
7724	SBNO1	0.123	
7725	SRP14	-1	
7726	NA	NA	
7727	SIKE1	NA	
7728	RALA	-1	
7729	CAMK2G	-1	
7730	NMD3	0.059	
7731	TK2	0.08	
7732	NTRK3	-1	
7733	TRHDE	0.422	
7734	HUS1	-1	
7735	GOLGA6L9	NA	
7736	CLPX	-1	
7737	EFEMP2	0.091	
7738	USP5	-1	
7739	ATF6	0.209	
7740	HES1	-1	
7741	NA	NA	
7742	KIAA1009	0.059	
7743	NA	NA	
7744	EEF1D	0.075	
7745	PREP	0.086	
7746	GALK2	0.07	
7747	CALD1	-1	
7748	HTT	-1	
7749	PDLIM3	0.075	
7750	C19orf60	0.096	
7751	GPLD1	0.064	
7752	GPD2	-1	
7753	FBXO11	0.053	
7754	TSEN2	-1	
7755	NA	NA	
7756	ACTR8	-1	
7757	ID2	-1	
7758	USP15	0.171	
7759	SPEG	0.059	
7760	TUSC3	0.08	
7761	SH2B1	-1	
7762	PTPLAD1	-1	
7763	CDC42EP1	0.102	
7764	ZYX	0.08	
7765	NA	NA	
7766	HS1BP3	-1	
7767	C1GALT1	0.123	
7768	CARHSP1	-1	
7769	PDLIM4	-1	
7770	PSMG2	-1	
7771	VAPA	-1	
7772	TUBB3	0.102	
7773	SPRY1	0.048	
7774	HNRNPD	-1	
7775	ELMO1	-1	
7776	ZCCHC24	0.043	
7777	NPR3	-1	
7778	DBP	0.107	
7779	CCDC68	-1	
7780	TMCC1	0.094	
7781	AP1S2	NA	
7782	DLX4	0.043	
7783	ICMT	-1	
7784	CDC5L	-1	
7785	CD97	-1	
7786	GALNT12	-1	
7787	GABPB1	0.112	
7788	ARHGEF2	0.176	
7789	RPS14	0.07	
7790	NA	NA	
7791	VEZF1	0.07	
7792	AMT	-1	
7793	CHKB	-1	
7794	FOXF2	-1	
7795	CDC42EP3	-1	
7796	TMEM5	0.155	
7797	RCOR3	0.118	
7798	DAZAP2	-1	
7799	ARHGEF7	0.123	
7800	STC1	0.096	
7801	NEK9	-1	
7802	NA	NA	
7803	SH3BP2	-1	
7804	KIAA0141	0.08	
7805	TAF1D	-1	
7806	NEO1	-1	
7807	RSL1D1	-1	
7808	RASAL2	-1	
7809	RPS7	-1	
7810	DDAH1	0.048	
7811	ABCD3	0.053	
7812	NCK1	-1	
7813	LSG1	0.091	
7814	EBLN2	NA	
7815	SMAD2	-1	
7816	REC8	0.064	
7817	MEPCE	-1	
7818	LINC00667	NA	
7819	RBM48	NA	
7820	ATP2A2	0.128	
7821	SET	0.08	
7822	PSD4	0.08	
7823	NUDT21	-1	
7824	SATL1	NA	
7825	CEACAM6	0.08	
7826	MED9	0.075	
7827	ANP32E	0.128	
7828	RHOBTB3	-1	
7829	PLAA	0.15	
7830	DESI1	NA	
7831	SLC35F2	-1	
7832	KANSL2	NA	
7833	KIAA1009	0.059	
7834	NDUFS5	-1	
7835	GNB2L1	0.096	
7836	PRMT1	-1	
7837	SCN1B	-1	
7838	HDAC7	0.16	
7839	IKBKB	0.096	
7840	SEMA4F	0.043	
7841	SMARCA5	-1	
7842	SIN3B	0.091	
7843	TRAM2	0.07	
7844	NHP2L1	-1	
7845	NA	NA	
7846	XPNPEP3	0.118	
7847	RPGRIP1L	-1	
7848	GP1BA	0.048	
7849	SLC25A32	-1	
7850	HNRNPH3	-1	
7851	FAM20B	-1	
7852	PMF1	0.16	
7853	TFEB	-1	
7854	PPP1CB	-1	
7855	RNF24	-1	
7856	CDK17	NA	
7857	ERGIC3	0.123	
7858	IVD	-1	
7859	SYT11	0.176	
7860	VEZT	0.144	
7861	RNF14	0.08	
7862	ZCCHC4	-1	
7863	NCOA2	0.128	
7864	RWDD1	-1	
7865	IKZF1	0.091	
7866	ZDHHC4	-1	
7867	GBP2	0.043	
7868	PRKAB1	-1	
7869	NSG1	NA	
7870	FZD4	0.123	
7871	PFDN2	-1	
7872	SLC23A2	-1	
7873	MUT	0.059	
7874	ARFIP1	-1	
7875	ARID4B	-1	
7876	USP4	-1	
7877	URGCP	NA	
7878	PSMB5	-1	
7879	NA	NA	
7880	WBP5	NA	
7881	RABEP1	-1	
7882	C1orf56	-1	
7883	ST6GALNAC5	0.07	
7884	RPL3	-1	
7885	NA	NA	
7886	ACTR3	0.07	
7887	FAM115A	0.08	
7888	NGRN	0.059	
7889	EMC1	NA	
7890	OSTM1	-1	
7891	DBT	-1	
7892	GLYR1	NA	
7893	GNB5	0.064	
7894	MTMR2	-1	
7895	HCFC1R1	-1	
7896	GNS	0.193	
7897	POPDC2	-1	
7898	UGT1A6	-1	
7899	SASH1	-1	
7900	PPIA	0.091	
7901	FKBP4	0.086	
7902	NDUFS1	0.091	
7903	NA	NA	
7904	RABGGTB	0.07	
7905	TBC1D9B	-1	
7906	ADAMTSL3	-1	
7907	HILPDA	NA	
7908	EVI5	-1	
7909	BAG6	NA	
7910	NA	NA	
7911	PRNP	0.091	
7912	FABP3	0.075	
7913	ZBTB18	NA	
7914	ACOT11	0.083	
7915	MRPL13	0.096	
7916	ZEB2	0.053	
7917	ANKRD27	-1	
7918	GGT1	-1	
7919	CYP3A5	0.064	
7920	CDK10	-1	
7921	PTPN11	0.123	
7922	NKTR	-1	
7923	TMEM106B	-1	
7924	CCDC6	-1	
7925	RPL15	-1	
7926	MARCH6	NA	
