	FDR	FC	NF1300	NF1347	NF1311	NF1341	WD1297	WD1349	WD1306	WD1340
KIF18B	0.0723376608802586	4.98959201112765	15.5578406446525	228.023828236722	100.404367458014	29.8540511652252	526.635510533847	401.315234230897	351.936751425579	130.865896941082
COX14	0.0723376608802586	-1.92389226178273	6720.9871584899	4712.02898716006	4617.43341042379	10501.991776567	3833.28824438893	1794.18780103844	3715.25683816248	4400.65277125998
SESTD1	0.0725479154068283	-1.97481558134373	11464.8320683885	11481.8339852369	11713.4537058867	9476.44983376159	4210.87596892262	4408.29349601324	7017.70736097357	7388.18344484915
CACNG4	0.0725479154068283	13.6185104570716	46.6735219339576	119.573470904622	11.6749264486063	12.7156143851885	691.140103971044	53.097092529011	345.296435360945	617.595197844755
SARDH	0.0731824484446123	2.91994828711606	110.201371232956	76.4714058110957	133.094161514112	130.473260648021	419.541916148558	409.958946968178	279.999994058715	226.145453485905
NEK2	0.073199626662487	3.60266510979763	15.5578406446525	95.936854563011	30.3548087663763	12.1627615858325	115.926055777891	133.36013937519	94.0711442489755	67.7288413993318
KCNB2	0.0735923879066872	-5.8251360496819	189.287061176606	276.68745011651	121.419235065505	99.5135038840841	28.7054995259539	9.87852884260669	19.9209481939007	92.9836636160318
CAT	0.0735923879066872	-2.43625152901426	41995.7978467988	40211.4459538673	51369.6763738677	41686.7596298422	19008.5609745519	7638.57242754562	22094.5449857241	31416.9988375748
NFE2	0.0735923879066872	-7.05046173644148	1549.30163086332	386.528196645175	198.473749626307	506.413164210117	23.1852111555782	100.020104531393	19.9209481939007	362.751082748964
CEP85L	0.0736326865684477	2.1312917078085	936.063412119928	1066.42851376564	702.830572206099	565.568413741211	1346.95036237168	3794.5898916663	1817.23316302138	885.066724048896
GAS2L3	0.0743090744082812	3.20135471656478	477.107113102678	510.272835139493	203.143720205749	229.986764532105	1208.94315311229	722.367421615615	573.280620246698	2642.57276103834
MYO15A	0.0745205616885361	3.20599105671185	79.0856899436504	152.942811622191	38.5272572804007	93.9849758905239	299.199629674366	358.096670544493	294.387345532088	155.546745925584
