	FDR	FC	NF	WD
GON4L	0.814767815208398	1.08342660262888	4507.66429129711	4887.54657994605
ALG14	0.814767815208398	-1.1373533637283	832.642100561059	686.235367820259
ZNF264	0.814959678716027	1.08712265062207	1794.27616201255	1951.75882083051
NRD1	0.815068961785296	1.09379577890741	11401.3563415587	12085.8833817477
ZEB1	0.815068961785296	1.12100614490932	7034.4243260687	7692.41717348505
NPDC1	0.815460016799787	-1.14241072963644	8705.12466388513	7065.11629986846
NUDT16	0.815496395215553	1.08930185076026	6545.01768129978	7040.9045975679
ATF2	0.815551056977179	-1.0771247839144	4529.76235264793	4286.54847078127
CBWD5	0.815582895821027	1.14831177601344	391.8580388833	429.003821790353
C11orf71	0.815683563624765	1.13795770965174	470.794317492153	517.784730594475
TBC1D1	0.815739505220867	-1.09660529595888	4955.42096641059	4397.48110559941
RSPH3	0.815789539333002	1.13904932503436	242.160464847562	275.284695531162
TUBB	0.815789539333002	-1.10480119949801	36822.2458980543	32285.6268531438
RPS16	0.815789539333002	-1.09930171661573	42243.2521195764	39225.9087720699
RPS3	0.815789539333002	1.10416370705092	50966.3227583151	57138.8815675929
CCDC113	0.815789539333002	1.14903769158247	329.675105159354	356.014513241328
ZNF704	0.816057989387213	-1.11310055768209	4768.24493966941	4077.06161331091
POP1	0.816057989387213	-1.13321797893576	587.506730799944	559.158323246364
NUCB2	0.816057989387213	1.08527227939693	3768.34635989401	4091.03788400873
MGP	0.816091204208523	1.14555523924094	62520.9791653504	65877.7961731456
C16orf85	0.816174700972314	1.15789100057348	59.8939995509151	71.8827098022189
NCAPH2	0.816661302320714	-1.08268629589598	3297.62328066892	3108.56465357054
ILVBL	0.816664008925184	1.12734648789416	5677.04249211952	6038.07037608365
LRRN3	0.816664008925184	-1.19500726041077	914.601489745226	838.636582850733
SLC20A2	0.81674323362125	-1.14884432861782	3363.09121633344	2796.89952579184
DNAJC24	0.816841747592266	1.10592515571731	773.333234630676	856.707547002079
ARMC2	0.816841747592266	1.11479134247187	404.309612560344	441.834613007052
SLC7A8	0.816841747592266	1.12443054433416	2203.14555229163	2467.21066318628
POLR1E	0.816841747592266	-1.13426717111591	3048.74702075026	2556.21592443949
ZNF486	0.816988908121717	1.16808842881136	93.2456331128242	107.516285458378
ZBTB44	0.816988908121717	1.08670017552874	3925.05190928449	4185.01994604069
LAIR1	0.81700945990812	-1.1536231854682	5472.44875808823	4479.31385312401
TMEM41B	0.81700945990812	1.10171910775439	2205.65751275266	2524.18080037508
PRPSAP1	0.817445258639938	1.08808393939574	3441.39651399059	3691.41107245693
AGPAT9	0.817519535807643	-1.32508510397992	2492.05310239058	2275.41929131159
C9orf40	0.817519535807643	-1.10160230234938	752.176741518367	680.492851863364
FAM21B	0.817943366272352	1.60087735986119	40.9594818826885	123.924435056861
POLR2H	0.81794770047009	1.08447030778349	2971.71454533336	3245.6998460731
OXCT1	0.818076417817476	-1.13233699977368	7787.25969807564	6570.84947158827
COX7A1	0.818076417817476	-1.18894271114219	6273.79589090398	4206.42047974387
RGL1	0.818076417817476	-1.12868058381232	7289.71785933298	6766.02209143716
HEY1	0.818076417817476	-1.18685199907642	1528.09522440804	1059.47506613903
ROCK2	0.818076417817476	-1.1165123820775	10404.3763533104	9110.52926889786
KLKB1	0.818076417817476	-1.257446531902	73.2398059019103	49.4803717082741
SLC1A1	0.818176847480269	1.13655187604696	487.835016518788	550.949361574237
EIF4E2	0.818369784106498	1.07376100239833	4620.08787810945	4952.77004153048
ROBO4	0.818369784106498	1.11477101280348	8661.46902927663	9314.7930172525
PIWIL4	0.818369784106498	1.13071140911598	407.170334173214	451.798322335504
LDOC1L	0.818369784106498	-1.10053745031105	3934.59803758615	3568.62608225709
NOSIP	0.818475970825656	1.10014986152098	2713.39994553333	3019.24824692465
INPP5F	0.818475970825656	-1.09145662555567	1660.75547812905	1520.53716940064
ROBO1	0.818482882488182	1.1410842847621	3795.85686891483	4238.34994194448
DDX28	0.818496944691525	-1.08558290486682	992.816201841642	914.901313101282
OXR1	0.818496944691525	-1.08993483294354	5019.46348007931	4497.57868570114
C17orf62	0.818496944691525	1.1244482570515	4803.15883455721	4999.70783190201
LIAS	0.818496944691525	1.11929813765646	892.482986232256	1045.35319329687
CDC42BPA	0.818504911581129	-1.0824033426342	7342.88658514897	6780.15328631261
TMEM161A	0.818504911581129	1.0839440312277	1835.93266619378	1993.96144726354
COX6A1	0.818504911581129	-1.12306797387449	10406.911289458	8621.47752227916
SUMF2	0.818512132027078	-1.07870494955318	7239.65493513543	6761.82421112712
FADD	0.818570361084162	-1.12567226597121	513.910690593566	468.711734833073
RNF144B	0.818656526615302	-1.164599208871	2761.71456775323	2274.94210308979
ZNF566	0.818806154154229	1.09893121194081	782.665016215454	859.039406387401
EXTL2	0.818850003396363	1.0775573641247	1716.90797644086	1850.89922787749
FERMT1	0.818885295136562	1.24605987946859	72.5773088551935	84.0945967801043
ZNF274	0.819126228413931	-1.08638045036412	2382.96280824663	2203.45918099119
RBM10	0.819250924665786	1.09264566035442	4477.52546810245	4776.26976681038
DGCR2	0.819250924665786	1.08502665853819	5770.67979888406	6115.389882584
IMP4	0.819266473916668	-1.07687851594636	4145.59985742514	3809.3212783346
DBF4	0.819266473916668	1.14090408216712	539.834258919349	621.41376162248
RBMXL1	0.819266473916668	-1.10971294086319	2030.25286699246	1808.14645204596
RIOK1	0.819282371005708	-1.11314560604611	2682.81547305338	2446.81843929937
HNRNPUL2	0.819356668309872	1.07605755425879	4406.27036068956	4817.93058567273
ST7L	0.819356668309872	1.08197564519248	1518.61353214469	1654.04243401599
HDX	0.819356668309872	-1.16105365500565	359.508739985845	352.712517341324
PKM	0.819356668309872	1.14363608401499	22959.3089989233	23301.4736959568
DUT	0.819356668309872	-1.07664513629048	5631.60155853297	5291.90407458689
DIO3	0.819740395328523	1.22668731984266	149.246252617546	144.403915801595
VAMP5	0.819891911072529	1.09804268039619	3844.58302709903	4326.4711420617
ZNF444	0.820001490458724	1.10318533409736	2034.45893041416	2301.13457720319
SHARPIN	0.820001490458724	-1.0841793607455	3745.37077234199	3536.59623144079
MRPS7	0.820001490458724	1.09091952119377	3837.05506715434	4072.14836031255
PABPC4	0.820012288721615	-1.11148380183538	18812.499000287	17436.8529054712
ZNF773	0.820070685165674	1.13815700937654	308.840880554496	377.475302264676
SLC10A7	0.820074275134072	1.09450345982678	707.739183428202	779.001612225115
SLC6A8	0.820135107007594	-1.18583535769883	4903.74560360787	3185.18916811866
NR6A1	0.820140070850252	-1.13417226834652	158.357520637473	140.078212176934
FKBP4	0.820174969609393	-1.1366123303427	5081.86502524177	4732.70401722161
MASTL	0.820174969609393	-1.10256165249402	978.651168998192	891.442423529281
HS6ST1	0.820174969609393	1.10449128467747	4123.455795016	4500.82369215804
ARID3A	0.820174969609393	-1.13965339615794	1080.26162472212	874.393767887528
NAA30	0.82020384346383	1.07822878975843	2250.62388874455	2395.89173048809
SMN1	0.820216987075154	-1.11132012158936	773.713255780098	709.362566643512
SPDYE3	0.820216987075154	1.11606987647752	397.460271159732	439.097893468371
RNF170	0.820216987075154	1.08619441728196	1716.82391181573	1883.75523642949
ZNF641	0.820391912583557	1.10060868503416	2030.11798377176	2238.57618167571
RP11-3B7.1	0.820441094306657	1.245941198269	151.672080715334	141.027433624578
FCGR1B	0.820577411226837	1.21918634967953	87.1593357058836	106.195472061834
TXNDC16	0.82068577678347	-1.0909372265635	1163.42390730532	1049.16156900295
TMF1	0.821096838376278	1.08313288777081	3254.05777290338	3495.45460073666
IMPAD1	0.821096838376278	-1.12144770661037	13081.2308326667	11151.7473584827
ECI2	0.821339794561212	-1.09218886502635	4985.90065888995	4435.37225886704
SLC25A39	0.821339794561212	1.0747117357293	4496.60654721439	4798.06668940987
CDK11B	0.821339794561212	-1.07485012508867	2880.73595786528	2666.26722955449
ZCCHC2	0.821358741643894	-1.0868444070288	2471.61501084563	2211.71476823525
GALNT11	0.821386366893602	1.09476014570188	5189.38063819111	5474.0509960041
DISC1	0.821486693109043	1.13669204366298	659.959608698182	718.386091890381
GPD2	0.821492591523849	-1.10378676503826	2970.43210883847	2690.4303131615
PIK3R3	0.821569100573936	-1.15822567287451	8288.60930810333	6614.47086666233
METTL22	0.821569100573936	1.08934050129896	1178.33836072758	1281.69425015537
RAB34	0.821569100573936	-1.12006555010681	3429.26704132437	3065.26241017531
NCS1	0.821569100573936	1.18589658089518	936.218745084897	1375.96995499702
ZNF496	0.821701837880296	1.0776838151409	2725.13747742522	2959.22572414618
CTBP2	0.821701837880296	-1.06451407921039	4119.0927067404	3881.35459895907
CD200R1	0.821701837880296	1.25014783997086	228.034750389512	319.585144107457
ZFAT	0.821793989305536	1.16623164622291	851.402555943482	1149.61412645493
BLOC1S3	0.821793989305536	1.12895610034906	602.752725384992	682.024531978398
ARAP1	0.82196862449996	-1.08274039335681	10814.6898554686	9875.90343427721
SMARCD1	0.822666256295746	-1.07095565183558	4947.55680205039	4561.99411203071
PLEKHF1	0.822666256295746	1.18303152319827	1442.06213255803	1622.18531845677
EN1	0.822666256295746	-1.18483892126873	304.600060734735	304.107261879854
ELANE	0.822666256295746	-1.23194902296248	113.222988396156	85.8155781560851
C16orf62	0.822666256295746	-1.07221378513417	3779.51040149143	3527.06034953627
PFN1	0.822666256295746	-1.09298079043639	30291.6301128636	28263.5428565554
HOXD1	0.822666256295746	1.21086388291675	80.4985992779823	85.476985426008
HAAO	0.822685766039497	1.13384480080731	820.160682865194	928.914095436629
ETFA	0.822685766039497	-1.10986477632716	12260.5607952009	10596.0011220616
ZNF581	0.822685766039497	1.1257689649713	720.494690879935	846.269287910568
NBPF12	0.822685766039497	1.12013120970073	648.904604005971	737.520059285892
GNG12	0.822685766039497	-1.09955279879101	13269.5878889028	11826.8155345749
DOCK3	0.822685766039497	1.24065235552371	118.156661648217	210.199818044965
ZNF511	0.822704064661352	-1.0837161026984	1543.78710437865	1454.55263811654
YTHDC2	0.822728298773608	1.09687548476689	3642.94894693884	3955.2939284394
DCPS	0.822872200361512	1.1021604591812	618.780868396175	686.830998816117
TBC1D3F	0.823094244150595	1.16055158797747	118.205034950623	132.542650594972
CPXM1	0.823094244150595	1.16714431655016	9518.3446675372	12491.4687131879
SLC44A3	0.823094244150595	-1.15987071752937	235.899105780499	178.272143106603
CIC	0.823150322340114	-1.079846349833	7315.41225746427	6829.83820892784
TES	0.823150322340114	-1.15317571522863	4361.57784576368	3544.82610997619
HES4	0.823237038357566	-1.12781568342652	1586.14327063415	1565.87032416569
